City,Lat,Temp(F),Humidity(%),Cloudiness(%),Wind(mph)
albany,42.65,76.41,50,40,5.82
punta arenas,-53.16,37.27,86,75,12.75
lazaro cardenas,28.39,77.68,53,75,9.17
zheleznodorozhnyy,55.75,63.7,77,20,4.47
gambo,4.65,71.47,93,100,1.74
ushuaia,-54.81,39.2,80,40,3.36
guerrero negro,27.97,69.67,76,16,5.99
hithadhoo,-0.6,83.53,64,66,4.12
barrow,-38.31,54.37,30,0,2.33
rio grande,-32.03,55.58,100,90,8.05
avarua,-21.21,71.6,83,50,8.05
hamilton,43.26,76.44,49,40,4.7
kodiak,39.95,77.34,50,75,6.93
tombouctou,16.77,92.53,38,96,5.26
matay,28.42,85.33,19,0,5.23
bambous virieux,-20.34,69.91,83,75,11.41
guilin,25.28,84.2,74,75,8.95
cape town,-33.93,57.02,71,75,23.04
beringovskiy,63.05,49.51,66,97,0.2
pisco,-13.71,68.13,30,0,9.17
kavaratti,10.57,81.55,80,100,18.01
arraial do cabo,-22.97,78.8,65,0,11.41
cidreira,-30.17,60.67,96,100,15.73
rikitea,-23.12,73.63,80,0,9.75
khatanga,71.98,55.63,53,23,9.73
hobart,-42.88,51.49,62,75,10.29
upernavik,72.79,47.17,69,0,10.69
lorengau,-2.02,79.75,84,80,12.82
hilo,19.71,71.28,94,90,6.93
sao joao da barra,-21.64,81.46,48,0,10.29
waipawa,-39.94,45.0,95,38,1.99
jamestown,-33.21,45.91,91,0,5.75
bethel,60.79,54.81,87,90,3.36
bredasdorp,-34.53,59.2,59,21,10.29
busselton,-33.64,52.27,72,100,20.29
airai,-8.93,66.07,83,60,5.28
ancud,-41.87,46.4,81,20,4.7
victoria,5.28,77.0,94,75,1.12
qaanaaq,77.48,46.63,47,54,7.96
gambela,8.25,68.77,94,79,2.8
clyde river,70.47,51.8,81,75,9.17
cassilandia,-19.11,86.23,27,0,5.95
yellowknife,62.45,69.8,60,20,6.93
flinders,-34.58,48.61,65,0,11.41
norsup,-16.07,73.27,69,70,10.54
haines junction,60.75,52.75,67,90,7.72
cairns,-16.92,66.43,73,90,16.11
lebu,8.96,57.79,84,84,2.75
husavik,50.56,80.53,41,0,12.59
berlevag,70.86,54.7,93,75,4.7
campo de la cruz,10.38,86.9,66,75,8.05
kenai,60.55,56.41,93,90,9.17
hun,50.34,96.17,28,0,6.93
kindu,-2.95,79.03,36,0,1.77
gao,16.28,96.49,34,81,2.73
meadow lake,54.13,75.2,73,75,9.17
bluff,-23.58,54.55,52,0,4.92
longyearbyen,78.22,44.6,65,75,16.11
san vicente,-0.59,75.2,83,90,4.7
naze,5.43,75.79,90,80,6.8
atambua,-9.11,75.43,73,39,16.62
kaitangata,-46.28,40.51,82,30,3.2
dhidhdhoo,6.88,82.27,74,100,11.99
thompson,55.74,80.6,47,40,6.93
puerto ayora,-0.74,72.0,87,50,5.99
saint-augustin,45.63,71.85,60,75,4.7
araouane,18.9,100.99,27,77,11.14
mengyin,35.71,81.73,79,42,3.65
port-gentil,-0.72,78.8,78,75,14.99
sumbe,-11.2,73.4,84,90,9.17
mataura,-46.19,37.0,96,58,1.99
carnarvon,-30.97,42.13,62,27,7.18
bullhead city,35.15,96.06,24,90,20.8
souillac,45.6,98.91,32,0,5.82
hay river,60.82,68.0,72,75,9.17
dikson,73.51,36.19,97,58,9.75
pyatovskiy,54.69,64.4,82,40,2.24
kambove,-10.88,57.79,35,0,0.87
saint-philippe,45.36,71.71,47,75,5.95
pacific grove,36.62,68.79,72,1,3.36
axim,4.87,77.05,83,0,9.19
riyadh,24.63,105.8,9,0,11.41
saint george,39.45,83.86,61,20,13.87
ypacarai,-25.41,53.6,81,90,9.17
bad salzungen,50.81,92.32,26,0,8.05
ribeira grande,38.52,73.4,56,40,10.29
atuona,-9.8,80.29,74,13,18.16
kahului,20.89,72.77,78,20,3.36
filadelfia,-22.35,48.25,85,100,11.74
new norfolk,-42.78,51.49,62,75,10.29
carutapera,-1.2,84.43,65,45,8.14
srandakan,-7.94,74.71,86,85,18.92
nanortalik,60.14,39.43,95,100,4.23
puerto quijarro,-19.0,64.4,55,0,16.11
kapaa,22.08,77.18,78,75,13.87
severo-kurilsk,50.68,46.63,96,100,19.35
port elizabeth,39.31,80.1,54,20,9.17
puerto montt,-41.47,46.4,75,0,9.17
deputatskiy,69.3,40.69,71,89,1.32
srednekolymsk,67.46,41.77,84,82,8.12
mar del plata,-46.43,46.81,52,49,14.23
tacoronte,28.48,75.29,64,0,14.99
touros,-5.2,82.4,74,40,4.7
kavieng,-2.57,81.91,79,45,25.1
port alfred,-33.59,55.99,74,0,3.0
goure,13.98,97.93,24,52,2.8
banda aceh,5.56,83.71,76,96,11.34
